MQ2,Soil,LDR,RoomTemp,Humidity,WaterTemp,Weight,Pred_Soil,Pred_RoomTemp,Pred_Humidity,Pred_WaterTemp
335.0,3184.0,3775.0,23.3,47.8,22.06,339.55,3184.0,23.3,47.8,22.06
328.0,3171.0,3697.0,23.3,47.8,22.06,339.56,3171.0,23.3,47.8,22.06
339.0,3246.0,3760.0,23.4,47.7,22.06,339.49,3246.0,23.4,47.7,22.06
330.0,3205.0,3623.0,23.3,47.7,22.06,339.59,3205.0,23.3,47.7,22.06
346.0,3251.0,3780.0,23.4,47.7,22.06,339.54,3251.0,23.4,47.7,22.06
341.0,3225.0,3776.0,23.3,47.7,22.06,339.57,3225.0,23.3,47.7,22.06
333.0,0.0,3621.0,23.3,47.7,22.06,339.54,0.0,23.3,47.7,22.06
349.0,0.0,3893.0,23.2,47.6,22.0,339.55,0.0,23.2,47.6,22.0
354.0,0.0,3888.0,23.4,47.7,22.06,339.53,0.0,23.4,47.7,22.06
343.0,0.0,3824.0,23.2,47.7,22.06,339.56,0.0,23.2,47.7,22.06
